Nr. movimento,Budget/cons,Tipo movimento,Codice MP,Tipo origine,Nr articolo,Nr. documento,Quantità MP impiegata,Importo costo (TOTALE)
21684,BUDGET,Consumo,ART0001929,Articolo,ART0000788,ODP16-16812,1.00,126.01
21685,BUDGET,Consumo,ART0001820,Articolo,ART0000788,ODP16-16812,1.00,52.71
21686,BUDGET,Consumo,ART0005137,Articolo,ART0000788,ODP16-16812,1.00,0.00
21687,BUDGET,Consumo,ART0005138,Articolo,ART0000788,ODP16-16812,1.00,0.00
21688,BUDGET,Consumo,ART0005139,Articolo,ART0000788,ODP16-16812,1.00,0.32
21689,BUDGET,Consumo,ART0003831,Articolo,ART0000788,ODP16-16812,2.00,5.00
21690,BUDGET,Consumo,ART0001877,Articolo,ART0000756,ODP16-15232,2.00,255.93
21691,BUDGET,Consumo,ART0001765,Articolo,ART0000756,ODP16-15232,2.00,162.50
21692,BUDGET,Consumo,ART0001429,Articolo,ART0000756,ODP16-15232,4.00,15.71
21693,BUDGET,Consumo,ART0005140,Articolo,ART0000756,ODP16-15232,6.00,9.00
21694,BUDGET,Consumo,ART0005141,Articolo,ART0000756,ODP16-15232,2.00,0.39
21698,BUDGET,Consumo,ART0001880,Articolo,ART0000772,ODP16-15712,1.00,270.21
21699,BUDGET,Consumo,ART0001768,Articolo,ART0000772,ODP16-15712,1.00,115.30
21700,BUDGET,Consumo,ART0005145,Articolo,ART0000772,ODP16-15712,1.00,0.00
21701,BUDGET,Consumo,ART0005137,Articolo,ART0000772,ODP16-15712,1.00,0.00
21702,BUDGET,Consumo,ART0003831,Articolo,ART0000772,ODP16-15712,3.00,7.50
21703,BUDGET,Consumo,ART0005146,Articolo,ART0000772,ODP16-15712,1.00,0.00
21706,BUDGET,Consumo,ART0001897,Articolo,ART0000762,ODP16-14704,10.00,1087.02
21707,BUDGET,Consumo,ART0001785,Articolo,ART0000762,ODP16-14704,10.00,405.15
21708,BUDGET,Consumo,ART0005149,Articolo,ART0000762,ODP16-14704,10.00,0.00
21709,BUDGET,Consumo,ART0005140,Articolo,ART0000762,ODP16-14704,30.00,45.00
21710,BUDGET,Consumo,ART0005150,Articolo,ART0000762,ODP16-14704,10.00,0.00
21711,BUDGET,Consumo,ART0005151,Articolo,ART0000762,ODP16-14704,10.00,1.47
21903,BUDGET,Consumo,ART0001766,Articolo,ART0000825,ODP16-14653,2.00,233.86
21904,BUDGET,Consumo,ART0001920,Articolo,ART0000825,ODP16-14653,2.00,499.39
21905,BUDGET,Consumo,ART0003832,Articolo,ART0000825,ODP16-14653,6.00,16.50
21907,BUDGET,Consumo,ART0005162,Articolo,ART0001920,ODP16-14653,460.00,51.89
21909,BUDGET,Consumo,ART0001767,Articolo,ART0001017,ODP16-15843,1.00,65.97
21910,BUDGET,Consumo,ART0001879,Articolo,ART0001017,ODP16-15843,1.00,149.12
21911,BUDGET,Consumo,ART0001395,Articolo,ART0001017,ODP16-15843,1.00,0.00
21912,BUDGET,Consumo,ART0003832,Articolo,ART0001017,ODP16-15843,3.00,8.25
