nr articolo,budget/consuntivo,Nr. Ordine di produzione,Descrizione,Nr. Area di produzione,Risorsa,Tempo risorsa,Quantità di output
ART0000788,BUDGET,ODP16-16812,Montaggio,A40,RIS4,0.25,1.00
ART0000756,BUDGET,ODP16-15232,Montaggio,A40,RIS4,1.00,2.00
ART0000772,BUDGET,ODP16-15712,Montaggio,A40,RIS4,1.25,1.00
ART0000762,BUDGET,ODP16-14704,Montaggio,A40,RIS4,3.00,10.00
ART0000762,BUDGET,ODP16-14704,Controllo qualità,CQ,RIS16,0.00,10.00
ART0000772,BUDGET,ODP16-15712,Controllo qualità,CQ,RIS16,0.00,1.00
ART0000788,BUDGET,ODP16-16812,Controllo qualità,CQ,RIS16,0.00,1.00
ART0000756,BUDGET,ODP16-15232,Controllo qualità,CQ,RIS16,0.00,2.00
ART0003578,BUDGET,ODP16-16560,Controllo qualità,CQ,RIS16,0.00,10.00
ART0003580,BUDGET,ODP16-16560,Controllo qualità,CQ,RIS16,0.00,10.00
ART0000645,BUDGET,ODP16-16561,Controllo qualità,CQ,RIS16,0.00,23.00
ART0002513,BUDGET,ODP16-15976,Tornitura,A20,RIS14,2.50,7.00
ART0001180,BUDGET,ODP16-14655,Controllo qualità,CQ,RIS16,0.00,5.00
ART0002145,BUDGET,ODP16-17333,Tornitura,A20,RIS2,1.00,1.00
ART0001253,BUDGET,ODP16-15711,Tornitura,A20,RIS2,1.00,1.00
ART0002740,BUDGET,ODP16-16942,Fresatura,A30,RIS7,4.75,40.00
ART0001926,BUDGET,ODP16-14758,Fresatura,A30,RIS7,1.00,3.00
ART0002513,BUDGET,ODP16-15976,Fresatura,A30,RIS7,1.50,7.00
ART0001926,BUDGET,ODP16-14758,Saldatura,A11,RIS1,1.00,12.00
ART0002145,BUDGET,ODP16-17333,Fresatura,A30,RIS7,0.50,1.00
ART0005136,BUDGET,ODP16-16477,Fresatura,A30,RIS9,0.75,0.00
ART0001779,BUDGET,ODP16-14652,Tornitura,A20,RIS14,2.50,8.00
ART0001253,BUDGET,ODP16-15711,Fresatura,A30,RIS7,0.50,1.00
ART0001779,BUDGET,ODP16-14652,Fresatura,A30,RIS7,2.25,8.00
ART0002551,BUDGET,ODP16-15980,Tornitura,A20,RIS2,2.25,3.00
ART0000756,BUDGET,ODP16-15977,Montaggio,A40,RIS4,1.50,5.00
ART0001743,BUDGET,ODP16-15980,Fresatura,A30,RIS7,5.00,0.00
ART0002366,BUDGET,ODP16-16942,Tornitura,A20,RIS2,2.00,4.00
ART0002366,BUDGET,ODP16-16942,Tornitura,A20,RIS2,0.25,0.00
ART0001920,BUDGET,ODP16-14653,Controllo qualità,CQ,RIS16,0.00,2.00
ART0001891,BUDGET,ODP16-14652,Controllo qualità,CQ,RIS16,0.00,8.00
ART0001884,BUDGET,ODP16-16047,Controllo qualità,CQ,RIS16,0.00,7.00
ART0001743,BUDGET,ODP16-15980,Fresatura,A30,RIS7,3.75,3.00
ART0000825,BUDGET,ODP16-14653,Montaggio,A40,RIS4,1.50,2.00
ART0000825,BUDGET,ODP16-14653,Controllo qualità,CQ,RIS16,0.00,2.00
ART0000756,BUDGET,ODP16-15977,Controllo qualità,CQ,RIS16,0.00,5.00
ART0002366,BUDGET,ODP16-16942,Fresatura,A30,RIS7,1.50,4.00
ART0001017,BUDGET,ODP16-16663,Montaggio,A40,RIS4,0.45,1.00
ART0001017,BUDGET,ODP16-15843,Montaggio,A40,RIS4,0.45,1.00
ART0003935,BUDGET,ODP16-16479,Tornitura,A20,RIS14,0.50,1.00
ART0003935,BUDGET,ODP16-16479,Tornitura,A20,RIS14,2.00,0.00
ART0005136,BUDGET,ODP17-00172,Tornitura,A20,RIS2,0.25,1.00
ART0005136,BUDGET,ODP17-00172,Tornitura,A20,RIS2,0.25,1.00
ART0001017,BUDGET,ODP16-16663,Controllo qualità,CQ,RIS16,0.00,1.00
ART0001017,BUDGET,ODP16-15843,Controllo qualità,CQ,RIS16,0.00,1.00
ART0005136,BUDGET,ODP17-00172,Controllo qualità,CQ,RIS16,0.00,1.00
ART0005136,BUDGET,ODP17-00172,Controllo qualità,CQ,RIS16,0.00,1.00
ART0002551,BUDGET,ODP16-15980,Fresatura,A30,RIS7,2.00,0.00
ART0002551,BUDGET,ODP16-15980,Fresatura,A30,RIS7,2.50,3.00
ART0003782,BUDGET,ODP16-16560,Controllo qualità,CQ,RIS16,0.00,4.00
ART0005136,BUDGET,ODP16-16477,Tornitura,A20,RIS2,1.50,1.00
ART0005136,BUDGET,ODP16-16477,Fresatura,A30,RIS9,0.75,1.00
ART0003613,BUDGET,ODP16-16560,Tornitura,A20,RIS2,1.00,4.00
ART0002012,BUDGET,ODP16-17338,Tornitura,A20,RIS1,0.50,2.00
ART0003613,BUDGET,ODP16-16560,Controllo qualità,CQ,RIS16,0.00,4.00
ART0000308,BUDGET,ODP16-16945,Tornitura,A20,RIS14,2.50,10.00
ART0002144,BUDGET,ODP16-17333,Tornitura,A20,RIS1,0.50,1.00
ART0002132,BUDGET,ODP16-17333,Tornitura,A20,RIS1,0.50,1.00
ART0001817,BUDGET,ODP16-14758,Fresatura,A30,RIS7,3.25,0.00
ART0002102,BUDGET,ODP16-16942,Tornitura,A20,RIS14,2.50,26.00
ART0003935,BUDGET,ODP16-16479,Fresatura,A30,RIS9,1.00,0.00
ART0002753,BUDGET,ODP16-17337,Tornitura,A20,RIS2,2.00,2.00
ART0003785,BUDGET,ODP16-16557,Tornitura,A20,RIS14,2.50,30.00
ART0003785,BUDGET,ODP16-16557,Tornitura,A20,RIS14,1.00,0.00
ART0001188,BUDGET,ODP16-17333,Tornitura,A20,RIS2,0.50,1.00
ART0001817,BUDGET,ODP16-14758,Fresatura,A30,RIS7,0.50,3.00
ART0001214,BUDGET,ODP16-17333,Tornitura,A20,RIS14,2.00,1.00
ART0001214,BUDGET,ODP16-17333,Tornitura,A20,RIS14,1.00,0.00
ART0001188,BUDGET,ODP16-17333,Fresatura,A30,RIS7,0.25,1.00
ART0002144,BUDGET,ODP16-17333,Fresatura,A30,RIS7,0.50,1.00
ART0002132,BUDGET,ODP16-17333,Fresatura,A30,RIS7,0.50,1.00
ART0001154,BUDGET,ODP16-17335,Tornitura,A20,RIS13,1.50,29.00
ART0002145,BUDGET,ODP16-17333,Controllo qualità,CQ,RIS16,0.00,1.00
ART0002511,BUDGET,ODP16-17333,Tornitura,A20,RIS1,1.00,1.00
ART0002513,BUDGET,ODP16-15976,Controllo qualità,CQ,RIS16,0.00,7.00
ART0003935,BUDGET,ODP16-16479,Fresatura,A30,RIS9,0.83,1.00
ART0003785,BUDGET,ODP16-16557,Controllo qualità,CQ,RIS16,0.00,30.00
ART0001253,BUDGET,ODP16-15711,Controllo qualità,CQ,RIS16,0.00,1.00
ART0001741,BUDGET,ODP16-15711,Controllo qualità,CQ,RIS16,0.00,1.00
ART0002551,BUDGET,ODP16-15980,Controllo qualità,CQ,RIS16,0.00,3.00
ART0002102,BUDGET,ODP16-16942,Fresatura,A30,RIS7,6.25,26.00
ART0002552,BUDGET,ODP16-15980,Tornitura,A20,RIS2,1.00,3.00
ART0002511,BUDGET,ODP16-17333,Fresatura,A30,RIS7,0.25,0.00
ART0002511,BUDGET,ODP16-17333,Fresatura,A30,RIS7,0.25,1.00
ART0002552,BUDGET,ODP16-15980,Tornitura,A20,RIS2,0.50,0.00
ART0000308,BUDGET,ODP16-16945,Fresatura,A30,RIS2,0.25,0.00
ART0001214,BUDGET,ODP16-17333,Fresatura,A30,RIS7,1.00,1.00
ART0002012,BUDGET,ODP16-17338,Tornitura,A20,RIS1,1.50,0.00
ART0002996,BUDGET,ODP17-00272,Fresatura,A30,RIS9,3.75,2.00
ART0001886,BUDGET,ODP16-17386,Tornitura,A20,RIS14,4.00,15.00
ART0001886,BUDGET,ODP16-17386,Tornitura,A20,RIS14,3.00,0.00
ART0000308,BUDGET,ODP16-16945,Fresatura,A30,RIS9,0.50,0.00
ART0001886,BUDGET,ODP16-17386,Fresatura,A30,RIS7,5.00,0.00
ART0000308,BUDGET,ODP16-16945,Fresatura,A30,RIS9,0.75,10.00
ART0000644,BUDGET,ODP16-16561,Controllo qualità,CQ,RIS16,0.00,21.00
ART0000625,BUDGET,ODP16-15709,Controllo qualità,CQ,RIS16,0.00,5.00
ART0000630,BUDGET,ODP16-16561,Controllo qualità,CQ,RIS16,0.00,30.00
ART0000627,BUDGET,ODP16-15709,Controllo qualità,CQ,RIS16,0.00,20.00
ART0005136,BUDGET,ODP16-16477,Controllo qualità,CQ,RIS16,0.00,1.00
ART0005136,BUDGET,ODP16-16477,Controllo qualità,CQ,RIS16,0.00,1.00
ART0000639,BUDGET,ODP16-15709,Controllo qualità,CQ,RIS16,0.00,7.00
ART0002552,BUDGET,ODP16-15980,Fresatura,A30,RIS9,0.75,3.00
ART0002552,BUDGET,ODP16-15980,Controllo qualità,CQ,RIS16,0.00,3.00
ART0002012,BUDGET,ODP16-17338,Fresatura,A30,RIS9,0.75,2.00
ART0002012,BUDGET,ODP16-17338,Tornitura,A20,RIS2,1.00,0.00
ART0001886,BUDGET,ODP16-17386,Fresatura,A30,RIS7,2.75,15.00
ART0001238,BUDGET,ODP16-17337,Tornitura,A20,RIS2,0.50,1.00
ART0001779,BUDGET,ODP16-14652,Controllo qualità,CQ,RIS16,0.00,8.00
ART0001743,BUDGET,ODP16-15980,Controllo qualità,CQ,RIS16,0.00,3.00
ART0005136,BUDGET,ODP17-00416,Tornitura,A20,RIS2,1.00,1.00
ART0002740,BUDGET,ODP16-16942,Controllo qualità,CQ,RIS16,0.00,40.00
ART0002012,BUDGET,ODP16-17338,Controllo qualità,CQ,RIS16,0.00,2.00
ART0002274,BUDGET,ODP16-17338,Tornitura,A20,RIS1,4.00,2.00
ART0005136,BUDGET,ODP17-00416,Brocciatura / stozzatrice,A33,RIS2,0.50,1.00
ART0001897,BUDGET,ODP16-17384,Tornitura,A20,RIS14,2.00,15.00
ART0001897,BUDGET,ODP16-17384,Tornitura,A20,RIS14,4.50,0.00
ART0001920,BUDGET,ODP17-00323,Tornitura,A20,RIS14,3.00,3.00
ART0001897,BUDGET,ODP16-17384,Fresatura,A30,RIS7,4.50,0.00
ART0000850,BUDGET,ODP16-14652,Controllo qualità,CQ,RIS16,0.00,8.00
ART0001228,BUDGET,ODP16-17337,Tornitura,A20,RIS2,0.25,1.00
ART0000758,BUDGET,ODP16-16047,Controllo qualità,CQ,RIS16,0.00,6.00
ART0001897,BUDGET,ODP16-17384,Fresatura,A30,RIS7,3.00,15.00
ART0001920,BUDGET,ODP17-00323,Fresatura,A30,RIS7,3.50,3.00
ART0003824,BUDGET,ODP16-14469,Tornitura,A20,RIS14,3.50,43.00
ART0005136,BUDGET,ODP17-00667,Fresatura,A30,RIS9,8.25,1.00
ART0005136,BUDGET,ODP17-00667,Foratura/Maschiatura,A32,RIS9,3.00,0.00
ART0002273,BUDGET,ODP17-00272,Tornitura,A20,RIS2,2.00,1.00
ART0002274,BUDGET,ODP16-17338,Fresatura,A30,RIS9,0.75,2.00
ART0002273,BUDGET,ODP17-00272,Fresatura,A30,RIS9,0.50,1.00
ART0002274,BUDGET,ODP16-17338,Controllo qualità,CQ,RIS16,0.00,2.00
ART0002753,BUDGET,ODP16-17337,Fresatura,A30,RIS7,2.50,2.00
ART0004146,BUDGET,ODP16-13864,Montaggio,A40,RIS11,2.00,31.00
ART0002997,BUDGET,ODP16-17338,Tornitura,A20,RIS2,2.00,0.00
ART0002385,BUDGET,ODP17-00322,Tornitura,A20,RIS14,5.00,25.00
ART0002385,BUDGET,ODP17-00322,Tornitura,A20,RIS14,3.50,0.00
ART0004175,BUDGET,ODP16-16946,Tornitura,A20,RIS14,3.00,1.00
ART0002102,BUDGET,ODP16-16942,Controllo qualità,CQ,RIS16,0.00,26.00
ART0001214,BUDGET,ODP16-17333,Controllo qualità,CQ,RIS16,0.00,1.00
ART0002366,BUDGET,ODP16-16942,Controllo qualità,CQ,RIS16,0.00,4.00
ART0001188,BUDGET,ODP16-17333,Controllo qualità,CQ,RIS16,0.00,1.00
ART0002132,BUDGET,ODP16-17333,Controllo qualità,CQ,RIS16,0.00,1.00
ART0002144,BUDGET,ODP16-17333,Controllo qualità,CQ,RIS16,0.00,1.00
ART0002997,BUDGET,ODP16-17338,Tornitura,A20,RIS2,5.00,2.00
ART0002511,BUDGET,ODP16-17333,Controllo qualità,CQ,RIS16,0.00,1.00
ART0002997,BUDGET,ODP16-17338,Fresatura,A30,RIS7,4.50,2.00
ART0002997,BUDGET,ODP16-17338,Controllo qualità,CQ,RIS16,0.00,2.00
ART0001785,BUDGET,ODP16-17384,Tornitura,A20,RIS14,5.00,15.00
ART0001785,BUDGET,ODP16-17384,Tornitura,A20,RIS14,1.50,0.00
ART0003197,BUDGET,ODP16-17338,Fresatura,A30,RIS9,0.50,3.00
ART0000313,BUDGET,ODP17-00418,Controllo qualità,CQ,RIS16,0.00,7.00
ART0001785,BUDGET,ODP16-17384,Fresatura,A30,RIS7,6.00,16.00
ART0000308,BUDGET,ODP16-16945,Controllo qualità,CQ,RIS16,0.00,10.00
ART0002273,BUDGET,ODP17-00272,Controllo qualità,CQ,RIS16,0.00,1.00
ART0003824,BUDGET,ODP16-14469,Controllo qualità,CQ,RIS16,0.00,43.00
ART0001238,BUDGET,ODP16-17337,Controllo qualità,CQ,RIS16,0.00,1.00
ART0003197,BUDGET,ODP16-17338,Controllo qualità,CQ,RIS16,0.00,3.00
ART0001785,BUDGET,ODP16-17384,Controllo qualità,CQ,RIS16,0.00,16.00
ART0001228,BUDGET,ODP16-17337,Controllo qualità,CQ,RIS16,0.00,1.00
ART0002513,BUDGET,ODP17-00855,Tornitura,A20,RIS14,2.50,5.00
ART0002753,BUDGET,ODP16-17337,Controllo qualità,CQ,RIS16,0.00,2.00
ART0000805,BUDGET,ODP17-00975,Montaggio,A40,RIS4,0.50,1.00
ART0000805,BUDGET,ODP17-00975,Controllo qualità,CQ,RIS16,0.00,1.00
ART0005136,BUDGET,ODP17-01034,Fresatura,A30,RIS9,1.00,4.00
ART0005136,BUDGET,ODP17-00667,Tornitura,A20,RIS1,8.00,0.00
ART0002513,BUDGET,ODP17-00855,Fresatura,A30,RIS7,1.00,5.00
ART0000630,BUDGET,ODP17-00857,Fresatura,A30,RIS9,1.50,0.00
ART0005136,BUDGET,ODP17-01034,Tornitura,A20,RIS2,2.00,4.00
