Nr. movimento,budget/cons,Tipo movimento,Nr articolo,Tipo origine,Nr. origine,Quantità,Importo vendita in valuta locale (TOTALE VENDITA)
21621,BUDGET,Vendita,ART0001433,Cliente,C00140,4.00,18.80
21629,BUDGET,Vendita,ART0001610,Cliente,C00140,12.00,145.28
21631,BUDGET,Vendita,ART0003269,Cliente,C00140,24.00,933.99
21633,BUDGET,Vendita,ART0002249,Cliente,C00140,1.00,36.33
21634,BUDGET,Vendita,ART0002370,Cliente,C00140,1.00,65.72
21635,BUDGET,Vendita,ART0003099,Cliente,C00140,2.00,60.54
21636,BUDGET,Vendita,ART0001252,Cliente,C00140,1.00,220.90
21637,BUDGET,Vendita,ART0001252,Cliente,C00140,1.00,220.90
21640,BUDGET,Vendita,ART0001497,Cliente,C00140,1.00,20.68
21641,BUDGET,Vendita,ART0001497,Cliente,C00140,1.00,20.68
21642,BUDGET,Vendita,ART0001653,Cliente,C00140,3.00,50.76
21643,BUDGET,Vendita,ART0001653,Cliente,C00140,3.00,50.76
21644,BUDGET,Vendita,ART0001739,Cliente,C00140,1.00,79.90
21645,BUDGET,Vendita,ART0001739,Cliente,C00140,1.00,79.90
21648,BUDGET,Vendita,ART0002271,Cliente,C00140,1.00,150.40
21649,BUDGET,Vendita,ART0002271,Cliente,C00140,1.00,150.40
21652,BUDGET,Vendita,ART0002829,Cliente,C00140,3.00,84.60
21653,BUDGET,Vendita,ART0002829,Cliente,C00140,3.00,84.60
21654,BUDGET,Vendita,ART0002918,Cliente,C00140,1.00,117.50
21655,BUDGET,Vendita,ART0002918,Cliente,C00140,1.00,117.50
21656,BUDGET,Vendita,ART0002919,Cliente,C00140,1.00,117.50
21657,BUDGET,Vendita,ART0002919,Cliente,C00140,1.00,117.50
21658,BUDGET,Vendita,ART0003309,Cliente,C00140,3.00,28.20
21659,BUDGET,Vendita,ART0003309,Cliente,C00140,3.00,28.20
21660,BUDGET,Vendita,ART0003310,Cliente,C00140,5.00,37.60
21661,BUDGET,Vendita,ART0003310,Cliente,C00140,5.00,37.60
21668,BUDGET,Vendita,ART0001180,Cliente,C00140,5.00,180.95
21669,BUDGET,Vendita,ART0001566,Cliente,C00140,15.00,63.45
21676,BUDGET,Vendita,ART0000849,Cliente,C00140,2.00,690.90
21677,BUDGET,Vendita,ART0000762,Cliente,C00140,10.00,3365.20
21678,BUDGET,Vendita,ART0000795,Cliente,C00140,8.00,1767.20
21679,BUDGET,Vendita,ART0000772,Cliente,C00140,1.00,374.12
21680,BUDGET,Vendita,ART0000756,Cliente,C00140,2.00,545.20
21681,BUDGET,Vendita,ART0000788,Cliente,C00140,1.00,310.20
